state,population,engineers,hurricanes
Alabama,4863300,0.003421545,22
Alaska,741894,0.001590524,0
Arizona,6931071,0.004774154,0
Arkansas,2988248,0.002439557,0
California,39250017,0.007125857,0
Colorado,5540545,0.008087652,0
Connecticut,3576452,0.005896906,10
Delaware,952065,0.004989155,2
District of Columbia,681170,0.011759179,0
Florida,20612439,0.003299949,110
Georgia,10310371,0.004939686,20
Hawaii,1428557,0.001624016,0
Idaho,1683140,0.002970638,0
Illinois,12801539,0.004478368,0
Indiana,6633053,0.002724236,0
Iowa,3134693,0.003716472,0
Kansas,2907289,0.003811111,0
Kentucky,4436974,0.002089262,0
Louisiana,4681666,0.001176931,49
Maine,1331479,0.002290686,6
Maryland,6016447,0.006291088,2
Massachusetts,6811779,0.010230808,10
Michigan,9928300,0.003876797,0
Minnesota,5519952,0.006193894,0
Mississippi,2988726,0.000933508,15
Missouri,6093000,0.004413261,0
Montana,1042520,0.002139048,0
Nebraska,1907116,0.005621053,0
Nevada,2940058,0.002037375,0
New Hampshire,1334795,0.00633056,2
New Jersey,8944469,0.007724327,2
New Mexico,2081015,0.001883696,0
New York,19745289,0.004941432,12
North Carolina,10146788,0.004226953,46
North Dakota,757952,0.003403909,0
Ohio,11614373,0.004095787,0
Oklahoma,3923561,0.002286188,0
Oregon,4093465,0.005457479,0
Pennsylvania,12784227,0.004237253,1
Rhode Island,1056426,0.004581485,9
South Carolina,4961119,0.002084207,31
South Dakota,865454,0.003085086,0
Tennessee,6651194,0.002375513,0
Texas,27862596,0.004320129,59
Utah,3051217,0.006440053,0
Vermont,624594,0.004643016,0
Virginia,8411808,0.008595061,12
Washington,7288000,0.010710757,0
West Virginia,1831102,0.00128338,0
Wisconsin,5778708,0.004821147,0
Wyoming,585501,0.001007684,0
Puerto Rico,3411307,0.000773897,0
