Candidate,Attribute,Value
Joseph Jobs,Z,9.38
Joseph Jobs,Ability to Influence,5
Joseph Jobs,Strategic Thinking,3.5
Joseph Jobs,Entrepreneur,5
Joseph Jobs,Ethical Principles,5
Joseph Jobs,Funding,4.5
Joseph Jobs,Tech,4.5
Joseph Jobs,Management,4.5
Joseph Jobs,Ethics,5
Joseph Jobs,Managed Money,5
Joseph Jobs,Location,5
Joseph Jobs,Municipal,5
Joseph Jobs,Key Skill,4.63
John Doe,Z,8.86
John Doe,Ability to Influence,5
John Doe,Strategic Thinking,4.5
John Doe,Entrepreneur,5
John Doe,Ethical Principles,4
John Doe,Funding,4.5
John Doe,Tech,4.5
John Doe,Management,4
John Doe,Ethics,4
John Doe,Managed Money,4
John Doe,Location,4.5
John Doe,Municipal,5
John Doe,Key Skill,4.44
Paula Perfect,Z,8.86
Paula Perfect,Ability to Influence,3
Paula Perfect,Strategic Thinking,4.5
Paula Perfect,Entrepreneur,4.5
Paula Perfect,Ethical Principles,4.5
Paula Perfect,Funding,4.5
Paula Perfect,Tech,4.5
Paula Perfect,Management,4.5
Paula Perfect,Ethics,4.5
Paula Perfect,Managed Money,5
Paula Perfect,Location,5
Paula Perfect,Municipal,5
Paula Perfect,Key Skill,4.31
Sally Sample,Z,8.86
Sally Sample,Ability to Influence,5
Sally Sample,Strategic Thinking,5
Sally Sample,Entrepreneur,5
Sally Sample,Ethical Principles,5
Sally Sample,Funding,4
Sally Sample,Tech,4
Sally Sample,Management,4
Sally Sample,Ethics,5
Sally Sample,Managed Money,2
Sally Sample,Location,4.5
Sally Sample,Municipal,4.5
Sally Sample,Key Skill,4.63
Harry Hire,Z,8.72
Harry Hire,Ability to Influence,4.5
Harry Hire,Strategic Thinking,5
Harry Hire,Entrepreneur,4.5
Harry Hire,Ethical Principles,5
Harry Hire,Funding,5
Harry Hire,Tech,3
Harry Hire,Management,4.5
Harry Hire,Ethics,4.5
Harry Hire,Managed Money,5
Harry Hire,Location,2
Harry Hire,Municipal,4.5
Harry Hire,Key Skill,4.5
Robin Research,Z,8.45
Robin Research,Ability to Influence,3
Robin Research,Strategic Thinking,4
Robin Research,Entrepreneur,5
Robin Research,Ethical Principles,4
Robin Research,Funding,4.5
Robin Research,Tech,4.5
Robin Research,Management,4.5
Robin Research,Ethics,4
Robin Research,Managed Money,4.5
Robin Research,Location,4
Robin Research,Municipal,5
Robin Research,Key Skill,4.19
Carol Candidate,Z,8.21
Carol Candidate,Ability to Influence,5
Carol Candidate,Strategic Thinking,5
Carol Candidate,Entrepreneur,4.5
Carol Candidate,Ethical Principles,4
Carol Candidate,Funding,4
Carol Candidate,Tech,4
Carol Candidate,Management,3
Carol Candidate,Ethics,4.5
Carol Candidate,Managed Money,2
Carol Candidate,Location,4
Carol Candidate,Municipal,5
Carol Candidate,Key Skill,4.25
Eric Example,Z,8.21
Eric Example,Ability to Influence,4.5
Eric Example,Strategic Thinking,4.5
Eric Example,Entrepreneur,4.5
Eric Example,Ethical Principles,4.5
Eric Example,Funding,1
Eric Example,Tech,4
Eric Example,Management,5
Eric Example,Ethics,4
Eric Example,Managed Money,4
Eric Example,Location,5
Eric Example,Municipal,5
Eric Example,Key Skill,4
Nick Newbie,Z,8.17
Nick Newbie,Ability to Influence,4
Nick Newbie,Strategic Thinking,4.5
Nick Newbie,Entrepreneur,4
Nick Newbie,Ethical Principles,4.5
Nick Newbie,Funding,4.5
Nick Newbie,Tech,4.5
Nick Newbie,Management,4.5
Nick Newbie,Ethics,4
Nick Newbie,Managed Money,3
Nick Newbie,Location,3
Nick Newbie,Municipal,3
Nick Newbie,Key Skill,4.31
Steve Smith,Z,7.66
Steve Smith,Ability to Influence,3
Steve Smith,Strategic Thinking,3
Steve Smith,Entrepreneur,3
Steve Smith,Ethical Principles,4.5
Steve Smith,Funding,4
Steve Smith,Tech,4
Steve Smith,Management,4.5
Steve Smith,Ethics,4
Steve Smith,Managed Money,4
Steve Smith,Location,4.5
Steve Smith,Municipal,4
Steve Smith,Key Skill,3.75
